Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Fature 7,Feature 8,Feature 9,Target
13257.5,13152.9,19831.3,13588.2,12980,0,848.528,2209.07,-0.361954,0
13146.9,13013.8,19698.7,13453.6,12870.1,0,1000,2009.98,-0.332615,0
13038.4,12876.3,19567.3,13320.7,12731.1,0,1166.19,1811.08,-0.309631,0
12932.1,12740.5,19437.1,13189.4,12593.6,0,1341.64,1612.45,-0.285815,0
12828.1,12606.3,19308,13059.9,12457.9,0,1523.15,1414.21,-0.26575,0
10295.6,9867.12,16371.9,10440.3,9660.23,0,1442.22,0,-0.295519,0
10215.7,9808.16,16287.4,10384.6,9570.79,0,1612.45,200,-0.331321,0
10139,9752.95,16204.9,10332.5,9484.72,0,1523.15,200,-0.357793,0
10065.8,9701.55,16124.5,10284,9402.13,0,1456.02,200,-0.377813,0
9996,9654.01,16046.2,10239.1,9323.09,0,1414.21,0,-0.387151,0
9929.75,9610.41,15970,10198,9247.7,0,1400,200,-0.386616,0
9208.69,7810.25,14812.2,8527.6,6933.97,0,3328.66,3773.59,-0.607277,0
9097.25,7657.68,14805.4,8373.77,6767.57,0,3498.57,3944.62,-0.435491,0
8930.85,7507.33,14801.4,8221.92,6603.03,0,3671.51,4103.66,-0.180424,0
8765.84,7359.35,14800,8072.17,6440.5,0,3847.08,3959.8,0.0775845,0
8602.33,7213.88,14801.4,7924.65,6280.13,0,4024.92,3820.99,0.331818,0
8440.38,7071.07,14805.4,7779.46,6122.09,0,4204.76,3676.96,0.683385,0
5141.98,5015.97,11594.8,5400,3000,0,4804.17,1414.21,-0.197207,0
5099.02,5035.87,11401.8,5400,3000,0,4816.64,1400,-0.175708,0
5059.64,5063.6,11208.9,5400,3006.66,0,4804.17,1400,-0.154893,0
5000,5099.02,11016.4,5400,3026.55,0,4753.95,1414.21,-0.13295,0
18242.8,18321.6,21335.4,19143.7,15297.1,0,2973.21,4686.15,-0.824275,0
18085.4,18160.4,21313.8,18974.7,15259.1,0,2785.68,4534.31,-0.815852,0
17928.7,18000,21294.1,18806.4,15223.7,0,2600,4386.34,-0.806053,0
17773,17840.4,21276.3,18638.7,15190.8,0,2416.61,4242.64,-0.794794,0
17618.2,17681.6,21260.3,18471.6,15160.5,0,2236.07,4103.66,-0.7538,0
17464.3,17523.7,21246.2,18305.2,15132.7,0,2059.13,3969.89,-0.737639,0
17311.3,17366.6,21233.9,18139.5,15107.6,0,1886.8,3841.87,-0.720089,0
17159.3,17210.5,21223.6,17974.4,15085.1,0,1720.47,3720.22,-0.679085,0
13763.7,13682.1,20382.3,14145,13483.3,0,400,2607.68,-0.472622,0
13648.4,13560.2,20247.5,14007.1,13370.1,0,447.214,2630.59,-0.433087,0
13535.1,13435.8,20113.7,13870.8,13257.5,0,565.685,2433.1,-0.392398,0
13423.9,13296.6,19981,13736.1,13146.9,0,721.11,2236.07,-0.360203,0
13314.7,13159,19849.4,13602.9,13013.8,0,894.427,2039.61,-0.334925,0
13207.6,13023.1,19719,13471.5,12876.3,0,1077.03,1843.91,-0.314942,0
13102.7,12888.8,19589.8,13341.7,12740.5,0,1264.91,1649.24,-0.292185,0
13000,12756.2,19461.8,13213.6,12606.3,0,1456.02,1456.02,-0.279972,0
10560.3,10119.3,16638.5,10690.2,9929.75,0,1414.21,200,-0.260439,0
